id,term,translation,domain
1495,side dressing,nkyɛn so ahoɔdennuro,agric
1496,silage,aduane a wɔakora,agric
1497,silo,aduane kora dan kɛseɛ,agric
1498,silviculture,kwaeɛ yɛ,agric
1499,sire,aboa anini,agric
1500,slash-and-burn,twa hyehye,agric
1501,slash-and-char,twa yɛ bidie,agric
1502,slaughter,aboa kum,agric
1503,slaughter weight,aboa duru a wɔkum,agric
1504,slaughterhouse,mmoa kum fie,agric
1505,sled row,nkyekyɛmu a wɔatwe,agric
1506,slip,dua ketewa,agric
1507,slurry,sumina nsu,agric
1508,slurry pit,sumina nsu tokuro,agric
1509,smallholding,kuafuo ketewa,agric
1510,smother crop,otwa a ɛkata,agric
1511,smudge pot,wisie kora,agric
1512,soil amendment,asase tu mpɔn,agric
1513,soil compaction,asase den,agric
1514,soil inoculant,asase mmoawa de hyɛ,agric
1515,soil science,asase ho nimdeɛ,agric
1516,soil solarization,owia so asase kum,agric
1517,southwest injury,atɔeɛ fam pirapira,agric
1518,sow,prako bere,agric
1519,sow stall,prako bere dan,agric
1520,sowing,aba dua,agric
1521,spaying,mmoa bere mma yi,agric
1522,spoilage,adeɛ sɛe,agric
1523,sprigging,mman ketewa dua,agric
1524,springer,nantwi a ɔrebɛwo,agric
1525,sprinkler irrigation,nsuo pete gugu,agric
1526,sprout damage,fifiri ɔsɛeɛ,agric
1527,stable,mmoa dan,agric
1528,stag,aboa anini a wɔayi ne mma,agric
1529,staking,dua si,agric
1530,stallion,pɔnkɔ anini,agric
1531,staple fiber,ntoma titire,agric
1532,staple food,aduane titire,agric
1533,station,mmoa fie,agric
1534,steer,nantwi a wɔayi ne mma,agric
1535,stocker,aboa a wɔrehwɛ,agric
1536,stockgrower,ɔmmoa yɛfoɔ,agric
1537,stockyard,mmoa dan adiwo,agric
1538,stook,ɛserɛ boaboa,agric
1539,storage clamp,akorabea,agric
1540,stover,mfudeɛ nkaeɛ,agric
1541,stratification,aba nhyehyɛeɛ,agric
1542,straw,aburoo dua,agric
1543,strip cropping,nkyekyɛmu tiatia otwa,agric
1544,stubble,otwa akyi nkaeɛ,agric
1545,stubble-mulching,otwa akyi nkaeɛ fam kata,agric
1546,stud,aboa anini a wɔde wo,agric
1547,stumage,nnua a wɔatwa boɔ,agric
1548,sty,prako dan,agric
1549,subirrigation,ase nsu gugu,agric
1550,subsistence agriculture,asetena kuadwuma,agric
1551,subsoiler,ase funtum,agric
1552,succession planting,ntoatoaso dua,agric
1553,suckle,nufo,agric
1554,suckling,nufo,agric
1555,sugar bush,asikyire afifideɛ,agric
1556,summer fallow,ahuhuro gua,agric
1557,summer range,ahuhuro mmoa adidibea,agric
1558,sun-cured,owia so hye,agric
1559,sunscald,owia hye,agric
1560,super seeder,aba dua mfiri pa,agric
1561,support price,mmoa boɔ,agric
1562,sustainable agriculture,kuadwuma a ɛkɔ so,agric
1563,swampbusting,ɔwora paapae,agric
1564,swathe,ɛserɛ twa,agric
1565,swather,ɛserɛ twa mfiri,agric
1566,sweetening,dɛ ma,agric
1567,swill,prako aduane nsu,agric
1568,swine,mprako,agric
1569,tagging,gyinaberɛ de bɔ,agric
1570,tailing,dua nkaeɛ,agric
1571,tailrace,nsu ɔkwan a ɛyɛ ano,agric
1572,tailwater,nsu a aka,agric
1573,tallow,mmoa srade,agric
1574,tame hay,ɛserɛ a wɔadua,agric
1575,tankage,mmoa aduane a wɔayam,agric
1576,tapping,nsu yi,agric
1577,teart,asase a emu yɛ bɔne,agric
1578,tedder,ɛserɛ pete mfiri,agric
1579,tedding,ɛserɛ pete,agric
1580,tempering,adeɛ ma ɛnyɛ den,agric
1581,tenant farmer,okuafoɔ a ɔtua ka,agric
1582,tensiometer,asase nsu susudua,agric
1583,terrace,bepɔ so afuo,agric
1584,threshing,aburoo po,agric
1585,threshing floor,aburoo po bea,agric
1586,threshing machine,aburoo po mfiri,agric
1587,threshing stone,aburoo po ɛboɔ,agric
1588,tillage,funtum,agric
1589,tiller,mman fifiri,agric
1590,tilth,asase a wɔasiesie,agric
1591,timber,nnua,agric
1592,tobacco ban,tawa hye dan,agric
1593,tom,kɔkɔ anini,agric
1594,top dressing,soro ahoɔdennuro,agric
1595,topographical tetrazolium test,asase su nhwehwɛmu,agric
1596,topping,soro twa,agric
1597,topsoil,asase soro,agric
1598,towbar,atwedeɛ,agric
1599,tractor,terekta,agric
1600,transhumance,bere mu mmoa tu,agric
1601,transplanter,afifideɛ tu mfiri,agric
1602,transplanting,afifideɛ tu,agric
1603,trap crop,mmoawa twetwe otwa,agric
1604,tree farm,nnua kuafuo,agric
1605,tree wrapping,nnua ho nkataho,agric
1606,trellis,mman mmoa adeɛ,agric
1607,trench silo,tokuro kora dan,agric
1608,trickle irrigation,nsu susu gugu,agric
1609,trough,mmoa nsuo nom bea,agric
1610,truck farm,atosodeɛ kuafuo,agric
1611,turnrow,dan bea,agric
1612,twibill,mfiri mmienu,agric
1613,U-fork,U aforɔ,agric
1614,U-Pick,wo ankasa paw,agric
1615,udder,nufo,agric
1616,urban agriculture,kuro kuadwuma,agric
1617,vapor drift,ahuru tu kɔ,agric
1618,Vavilovian mimicry,Vavilov sɛso,agric
1619,veal,nantwi ba nam,agric
1620,vealer,nantwi ba a wɔde yɛ nam,agric
1621,veganic farming,afifideɛ kuadwuma,agric
1622,vermicompost,nsono sumina,agric
1623,vermiculite,aboɔ mu adeɛ,agric
1624,vermiculture,nsono yɛ,agric
1625,vermiponics,nsono ne nsu mfudeɛ,agric
1626,vernalization,awɔ nhwiren mmoa,agric
1627,vertical farming,soro kuadwuma,agric
1628,vineyard,bobesa turo,agric
1629,virtual water,nsu a wɔde yɛ,agric
1630,viticulture,bobesa dua,agric
1631,volunteer,afifideɛ a efifiri ankasa,agric
1632,walking tractor,terekta a wɔnante,agric
1633,warm-up ration,ɔhyeɛ aduane,agric
1634,water rights,nsu ho hokwan,agric
1635,water wheel,nsu afidie,agric
1636,waterlogging,nsuo pii gyina,agric
1637,water-meadow,ɛserɛ bea a nsu wɔ,agric
1638,watermill,nsu yam fie,agric
1639,water-wheel irrigation,nsu afidie gugu,agric
1640,weaning,nufo gyae,agric
1641,weanling,aboa ba a wɔagyae nufo,agric
1642,weed,wura,agric
1643,weed control,wura si ano,agric
1644,weed of cultivation,kuadwuma wura,agric
1645,weeder,wura yi mfiri,agric
1646,weeding,wura yi,agric
1647,wether,odwan a wɔayi ne mma,agric
1648,wet-milling,nsu yam,agric
1649,wigging,ntakra yi,agric
1650,wild hay,ɛserɛ a efifiri ankasa,agric
1651,wildcrafting,kwaeɛ mmoa aboa,agric
1652,wildling,afifideɛ a efifiri ankasa,agric
1653,wilting point,afifideɛ wu bere,agric
1654,windbreak,mframa si ano,agric
1655,windmill,mframa yam fie,agric
1656,windrow,ɛserɛ nkyekyɛmu,agric
1657,windrower,ɛserɛ nkyekyɛmu mfiri,agric
1658,windsnap,mframa bu,agric
1659,windthrow,mframa hwe,agric
1660,winnowing,aburoo hu,agric
1661,winter range,awɔ mmoa adidibea,agric
1662,wool,odwan ho nwi,agric
1663,wool alien,odwan ho nwi bɔne,agric
1664,woolshed,odwan ho nwi dan,agric
1665,worming,nsono yi,agric
1666,xeriscaping,nsuo kakra turo,agric
1667,yean,aponkye ba wo,agric
1668,yeanling,aponkye ba,agric
1669,yearling,aboa a wadi afe,agric
1670,yield,nnɔbaeɛ,agric
1671,yield mapping,nnɔbaeɛ mɛp,agric
